"Error occurred : can only concatenate str (not ""Tag"") to strin line 127",https://obituaries.unionrecorder.com/funeral-home-directory/al,2024-05-04 22:57:16.494900
"Error occurred : can only concatenate str (not ""Tag"") to strin line 127",https://obituaries.unionrecorder.com/funeral-home-directory/al,2024-05-04 22:58:33.883984
"Error occurred : list indices must be integers or slices, not strin line 124",https://obituaries.unionrecorder.com/funeral-home-directory/al,2024-05-04 23:00:02.878734
Error occurred : 'href'in line 146,https://obituaries.unionrecorder.com/funeral-home-directory,2024-05-05 20:29:08.988111
"Error occurred : list indices must be integers or slices, not Tagin line 146",https://obituaries.unionrecorder.com/funeral-home-directory,2024-05-05 20:34:29.480020
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 734-5229,2024-05-05 21:53:19.419042
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 733-5311,2024-05-05 21:53:19.420040
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 734-7926,2024-05-05 21:53:19.421040
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 737-3316,2024-05-05 21:53:19.422039
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 733-1522,2024-05-05 21:53:19.422039
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 732-5002,2024-05-05 21:53:19.423039
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 543-1892,2024-05-05 21:53:19.424037
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 732-3253,2024-05-05 21:53:19.425044
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 733-1720,2024-05-05 21:53:19.426037
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 782-5226,2024-05-05 21:53:19.426037
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 737-1177,2024-05-05 21:53:19.427037
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 737-1177,2024-05-05 21:53:19.428045
Error occurred : [Errno 13] Permission denied: 'Outputs/output.csv'in line 41,(413) 781-7766,2024-05-05 21:53:19.429040
